Unnamed-0,Year-ended-December-31,Unnamed-2
,2019,2018
Numerators,,
Numerator for basic and diluted earnings per share:,,
Net income,"$13,267","$3,654"
Denominators,,
Denominators for basic and diluted earnings per share:,,
Weighted average shares outstanding - basic,"17,424","20,721"
Dilutive potential common shares,,
Stock options and awards,"1,101",296
Denominator for diluted earnings per share,"18,525","21,017"
Net income per common share - basic,$0.76,$0.18
Net income per common share â€“ diluted,$0.72,$0.17
